Incident ID,# Killed,# Injured,Year
271363,0,4,2014
269679,1,3,2014
270036,0,4,2014
269167,1,3,2014
268598,1,3,2014
267792,1,3,2014
268282,1,3,2014
282186,4,2,2014
267721,0,5,2014
266570,2,2,2014
268910,1,4,2014
266424,1,8,2014
266407,4,0,2014
264901,0,4,2014
263556,7,0,2014
263376,1,4,2014
263382,0,5,2014
262202,0,4,2014
259935,0,4,2014
227011,1,5,2014
226983,0,5,2014
226388,0,4,2014
226534,0,5,2014
226150,1,3,2014
225903,3,2,2014
225830,0,4,2014
226018,2,3,2014
225036,0,6,2014
224362,0,4,2014
224131,1,4,2014
223651,4,1,2014
223799,4,1,2014
223729,1,3,2014
223582,0,6,2014
222792,1,3,2014
222393,0,4,2014
221554,1,4,2014
224746,0,6,2014
221347,4,0,2014
221577,1,3,2014
217831,0,5,2014
217401,0,4,2014
218054,0,4,2014
216533,0,4,2014
212884,0,5,2014
211348,4,0,2014
210363,5,1,2014
209134,0,4,2014
207145,1,3,2014
207687,0,4,2014
206303,1,3,2014
205726,3,2,2014
205298,0,4,2014
204310,3,1,2014
204477,1,3,2014
204236,0,5,2014
202981,0,4,2014
204254,4,0,2014
201630,3,1,2014
201052,1,5,2014
201648,2,2,2014
201502,0,4,2014
198051,1,7,2014
198527,0,4,2014
197416,0,4,2014
197384,0,15,2014
197287,0,5,2014
198064,1,4,2014
194945,0,4,2014
193960,2,2,2014
193570,0,4,2014
192851,8,0,2014
191416,0,5,2014
190874,3,1,2014
190599,0,6,2014
189562,1,7,2014
188332,0,4,2014
186488,0,5,2014
185393,0,5,2014
185430,0,6,2014
184507,0,5,2014
185196,2,3,2014
183432,0,5,2014
182974,3,1,2014
181947,1,3,2014
180018,1,3,2014
180580,1,3,2014
180007,3,4,2014
178425,0,5,2014
178006,0,4,2014
175911,0,4,2014
175943,0,4,2014
177770,1,3,2014
175839,0,4,2014
175779,1,3,2014
175788,0,6,2014
174560,1,3,2014
174544,0,4,2014
175767,0,4,2014
173369,1,3,2014
173628,2,3,2014
172304,2,5,2014
172205,0,6,2014
172288,0,6,2014
172180,0,7,2014
171802,1,8,2014
173786,0,4,2014
171778,0,4,2014
171823,1,3,2014
170704,3,1,2014
169326,0,5,2014
168844,5,0,2014
168551,0,7,2014
168786,0,5,2014
169024,0,5,2014
167872,3,1,2014
168169,0,7,2014
168307,1,5,2014
167649,1,3,2014
176329,3,4,2014
165856,1,4,2014
165089,0,5,2014
166970,1,3,2014
164513,5,0,2014
163930,0,8,2014
163874,1,6,2014
162687,0,4,2014
161302,0,6,2014
162008,0,4,2014
160998,1,3,2014
161063,1,3,2014
160488,0,4,2014
158387,1,4,2014
159291,0,4,2014
158306,0,5,2014
158589,0,5,2014
157857,3,2,2014
157580,1,3,2014
156670,6,1,2014
156468,0,5,2014
162305,0,4,2014
155943,1,4,2014
156125,2,2,2014
155412,0,4,2014
155755,0,4,2014
154803,0,6,2014
154834,0,7,2014
154971,1,4,2014
154721,0,7,2014
158055,0,5,2014
154844,0,5,2014
156834,0,5,2014
153275,1,3,2014
152468,1,9,2014
153648,0,4,2014
152693,1,5,2014
152960,0,7,2014
153578,0,4,2014
152722,1,3,2014
151659,0,5,2014
157018,2,2,2014
151475,0,5,2014
150299,2,7,2014
154136,1,3,2014
150344,0,5,2014
149954,0,4,2014
157013,0,4,2014
146565,0,4,2014
146586,0,4,2014
149706,3,1,2014
156245,0,6,2014
144565,1,4,2014
143723,1,5,2014
143979,1,3,2014
142822,1,3,2014
142818,1,4,2014
142076,0,7,2014
141382,1,5,2014
141792,0,4,2014
153532,1,3,2014
139281,1,3,2014
138567,0,4,2014
138645,3,1,2014
140185,1,7,2014
138282,4,8,2014
138370,2,2,2014
142123,1,3,2014
135904,0,7,2014
136567,1,3,2014
136163,0,5,2014
134823,0,5,2014
134591,0,4,2014
134238,0,7,2014
156823,1,6,2014
134044,1,3,2014
134052,2,3,2014
131697,1,3,2014
132897,0,4,2014
131998,4,4,2014
130933,0,4,2014
130232,1,6,2014
129730,0,5,2014
128871,2,3,2014
173109,1,3,2014
127045,0,6,2014
127381,2,2,2014
127413,0,5,2014
156828,0,4,2014
125028,1,3,2014
124146,0,4,2014
124131,0,5,2014
123891,3,1,2014
123008,0,4,2014
123666,0,4,2014
125863,0,4,2014
122136,1,5,2014
122612,1,3,2014
122672,0,4,2014
121031,4,16,2014
120303,0,5,2014
120621,0,5,2014
117818,1,3,2014
117914,0,7,2014
172722,1,3,2014
117642,0,4,2014
117591,3,1,2014
125855,0,4,2014
115012,0,4,2014
113156,3,1,2014
113247,0,6,2014
113255,1,3,2014
113214,0,6,2014
112415,3,1,2014
111095,1,4,2014
111109,0,4,2014
109957,4,1,2014
109142,0,4,2014
108691,4,0,2014
108649,4,2,2014
107417,1,6,2014
107519,1,7,2014
107673,0,5,2014
108659,1,4,2014
107433,1,4,2014
107403,0,5,2014
106394,0,5,2014
106243,1,3,2014
106481,1,3,2014
104721,0,5,2014
105010,0,4,2014
104218,1,3,2014
103698,3,2,2014
101301,0,4,2014
113665,1,4,2014
100434,1,4,2014
100568,0,4,2014
98836,2,3,2014
104902,0,4,2014
97407,2,4,2014
97365,5,0,2014
96792,0,4,2014
96185,0,4,2014
95579,0,5,2014
95500,0,6,2014
95550,0,5,2014
95146,0,4,2014
94514,1,3,2014
92704,1,3,2014
92194,2,2,2014
476321,0,6,2015
473882,0,4,2015
472268,0,4,2015
471867,0,4,2015
471860,0,4,2015
469468,0,4,2015
468968,1,4,2015
469614,0,4,2015
468787,1,4,2015
464665,1,3,2015
464945,0,4,2015
465117,1,3,2015
464002,0,4,2015
463642,1,3,2015
463734,0,4,2015
461476,1,3,2015
460049,1,3,2015
460386,2,3,2015
456893,16,19,2015
457037,1,3,2015
455394,0,5,2015
454059,3,9,2015
455684,2,2,2015
454788,0,4,2015
452007,4,1,2015
452120,0,5,2015
453317,0,4,2015
451338,0,4,2015
451305,0,5,2015
452362,1,3,2015
451349,0,4,2015
451495,0,17,2015
451057,1,3,2015
450505,1,3,2015
449814,0,5,2015
448653,3,1,2015
448419,5,0,2015
448286,0,4,2015
447462,0,4,2015
446996,4,1,2015
444458,2,2,2015
443821,1,3,2015
444168,0,4,2015
443652,1,3,2015
444406,0,4,2015
441681,2,3,2015
440743,4,0,2015
438651,1,3,2015
437836,0,5,2015
437323,0,5,2015
436234,1,4,2015
436240,0,5,2015
436202,0,5,2015
436219,0,4,2015
435144,1,3,2015
433146,0,6,2015
432711,0,4,2015
432072,0,4,2015
432466,1,4,2015
429410,0,4,2015
428215,0,6,2015
428247,0,4,2015
429614,1,3,2015
427621,1,3,2015
426256,0,5,2015
424224,1,4,2015
423223,10,9,2015
421650,0,5,2015
422064,3,2,2015
422035,2,3,2015
422020,0,4,2015
421014,0,10,2015
421358,0,4,2015
420855,0,4,2015
426559,0,4,2015
419718,0,5,2015
418964,0,4,2015
419250,0,5,2015
419826,1,3,2015
417013,0,6,2015
417284,1,3,2015
416872,1,5,2015
416812,1,3,2015
418318,6,0,2015
415687,0,4,2015
414580,0,4,2015
413001,1,5,2015
412996,0,4,2015
412487,2,4,2015
412529,0,6,2015
412539,1,3,2015
412557,0,5,2015
412040,5,0,2015
411888,0,4,2015
409856,0,4,2015
409732,2,4,2015
409601,0,4,2015
408449,1,3,2015
408276,0,4,2015
409101,1,3,2015
408256,0,4,2015
404167,1,4,2015
404238,3,2,2015
405133,1,3,2015
403069,1,3,2015
403669,2,2,2015
401884,0,4,2015
402113,2,2,2015
402051,2,2,2015
402108,1,3,2015
400091,1,7,2015
399883,0,4,2015
399564,3,1,2015
399212,0,8,2015
399367,2,5,2015
398975,2,2,2015
398361,3,4,2015
395844,0,6,2015
395757,0,4,2015
395718,0,5,2015
395837,1,3,2015
395694,0,4,2015
395549,1,3,2015
392131,0,4,2015
391263,1,3,2015
391219,1,3,2015
391014,0,4,2015
390914,2,3,2015
390774,1,11,2015
390526,8,0,2015
390050,4,0,2015
389057,0,4,2015
389149,1,4,2015
387194,0,5,2015
385779,0,9,2015
386140,0,7,2015
385824,1,4,2015
386066,0,5,2015
401742,0,4,2015
386937,0,4,2015
384662,0,4,2015
382459,0,5,2015
381814,2,3,2015
382170,0,4,2015
381433,0,4,2015
382413,2,5,2015
380162,3,9,2015
382230,0,6,2015
379166,5,0,2015
378452,1,3,2015
377878,0,6,2015
377189,0,4,2015
377047,0,6,2015
377181,0,4,2015
378102,0,4,2015
390936,0,5,2015
376702,1,4,2015
377423,2,2,2015
376211,0,5,2015
376203,0,4,2015
376823,1,3,2015
375773,0,5,2015
375022,6,2,2015
374602,0,5,2015
375322,1,3,2015
375412,0,7,2015
374965,0,4,2015
374630,4,1,2015
374292,0,4,2015
373993,0,4,2015
373768,1,4,2015
373095,2,3,2015
373063,0,4,2015
370187,1,3,2015
370474,3,1,2015
369014,0,6,2015
368732,0,9,2015
369196,1,3,2015
369410,0,4,2015
368987,1,4,2015
368867,1,3,2015
368995,0,4,2015
369127,0,4,2015
367780,1,3,2015
366046,0,4,2015
367099,0,6,2015
365391,0,5,2015
365399,0,6,2015
364872,1,3,2015
364789,0,4,2015
363418,0,4,2015
361948,0,7,2015
366949,0,4,2015
361708,1,4,2015
361198,0,10,2015
360895,0,4,2015
361212,1,11,2015
361014,0,4,2015
359830,9,0,2015
359215,0,4,2015
358117,0,4,2015
357597,1,3,2015
357667,0,4,2015
357611,0,4,2015
357732,1,4,2015
357590,0,4,2015
357770,1,3,2015
357701,0,5,2015
357164,4,1,2015
357220,0,4,2015
356065,1,8,2015
355883,1,3,2015
355644,1,3,2015
355267,1,3,2015
353854,5,0,2015
353536,1,4,2015
353037,0,5,2015
353382,0,5,2015
352779,1,3,2015
351936,3,1,2015
350182,3,2,2015
350163,3,1,2015
350021,1,3,2015
349976,0,5,2015
349289,0,4,2015
348606,0,4,2015
348620,0,5,2015
348673,1,3,2015
346725,2,2,2015
346097,1,4,2015
345681,0,5,2015
345749,0,7,2015
346320,1,3,2015
346179,0,4,2015
346202,2,2,2015
344302,1,3,2015
343106,0,4,2015
342589,1,4,2015
341622,9,18,2015
341465,0,5,2015
341162,0,4,2015
341232,0,5,2015
339229,5,0,2015
340280,1,4,2015
337855,1,4,2015
338034,0,4,2015
337767,1,3,2015
335903,0,4,2015
336622,0,4,2015
334681,1,3,2015
334033,0,4,2015
333584,0,6,2015
334047,0,4,2015
333576,1,6,2015
333750,4,1,2015
332732,2,3,2015
330611,2,4,2015
330750,2,2,2015
329463,0,4,2015
329322,1,6,2015
326792,2,3,2015
325862,0,4,2015
327341,0,5,2015
325445,0,5,2015
325166,1,3,2015
325207,0,4,2015
325618,1,3,2015
324424,5,0,2015
319808,1,3,2015
318125,1,3,2015
318221,1,4,2015
318297,0,5,2015
318531,0,4,2015
317165,0,4,2015
316795,0,5,2015
314044,0,7,2015
313304,0,4,2015
312119,4,0,2015
311922,1,4,2015
311348,1,6,2015
310573,0,4,2015
310356,0,4,2015
468151,1,5,2015
308839,1,3,2015
308728,1,5,2015
308687,3,4,2015
307512,0,4,2015
306897,0,5,2015
308201,0,4,2015
305907,2,3,2015
304238,0,5,2015
303659,1,3,2015
302786,1,3,2015
491864,0,4,2015
300860,3,4,2015
300660,0,4,2015
299344,1,5,2015
299190,1,3,2015
298122,8,1,2015
297681,3,1,2015
588835,0,4,2015
296215,4,1,2015
296327,0,4,2015
296121,3,2,2015
295871,0,4,2015
295502,1,3,2015
293883,0,5,2015
290626,3,1,2015
290510,0,6,2015
289811,5,2,2015
290098,1,4,2015
289146,3,3,2015
287529,0,6,2015
287031,1,4,2015
286810,4,0,2015
285549,1,3,2015
285123,1,3,2015
282956,4,1,2015
283041,3,5,2015
283115,0,6,2015
281663,1,3,2015
281039,2,5,2015
278927,2,2,2015
298773,0,5,2015
276845,2,5,2015
277480,1,3,2015
276766,0,5,2015
276536,2,2,2015
276459,4,0,2015
275986,1,3,2015
275064,1,3,2015
274867,1,3,2015
273535,2,4,2015
273397,3,1,2015
273965,1,4,2015
272016,0,5,2015
740447,2,2,2016
738749,1,3,2016
738041,0,5,2016
738576,2,3,2016
736690,1,4,2016
734157,3,4,2016
735947,0,4,2016
733599,1,5,2016
732927,0,7,2016
733176,4,0,2016
732263,1,3,2016
732574,0,4,2016
727759,5,0,2016
728286,0,4,2016
727555,0,4,2016
727544,2,2,2016
724667,1,3,2016
723649,0,4,2016
723643,1,4,2016
723292,0,5,2016
725338,0,4,2016
725323,4,0,2016
722452,0,4,2016
719128,4,1,2016
717873,0,6,2016
717616,0,6,2016
716001,1,3,2016
715101,2,4,2016
712796,1,3,2016
712776,0,4,2016
713445,0,4,2016
711597,1,9,2016
711744,0,7,2016
710732,1,5,2016
710467,0,4,2016
709370,2,4,2016
709276,1,3,2016
708777,0,4,2016
708392,1,4,2016
704568,0,4,2016
703245,1,7,2016
699605,3,2,2016
699332,0,4,2016
700232,3,2,2016
699316,0,4,2016
699033,1,5,2016
700363,1,3,2016
699303,0,5,2016
699863,0,4,2016
698383,1,3,2016
696917,0,5,2016
697377,1,3,2016
696352,0,4,2016
693438,0,4,2016
693401,0,5,2016
693624,1,3,2016
693374,0,8,2016
693290,0,5,2016
693307,0,4,2016
692020,2,2,2016
692315,2,2,2016
692025,1,4,2016
691113,1,5,2016
689518,0,4,2016
688979,0,4,2016
689020,3,3,2016
688841,0,4,2016
688577,2,5,2016
688592,0,5,2016
689009,0,5,2016
687940,1,3,2016
688210,0,4,2016
688429,0,6,2016
687375,0,4,2016
686312,4,0,2016
685379,1,3,2016
684130,2,3,2016
683142,1,5,2016
682298,0,7,2016
679290,0,4,2016
678438,1,4,2016
677293,0,5,2016
676686,1,5,2016
676663,4,11,2016
676376,1,6,2016
675993,0,4,2016
672203,1,8,2016
672217,1,3,2016
671717,0,4,2016
669777,3,2,2016
668407,0,4,2016
667984,1,4,2016
668279,4,0,2016
668352,0,4,2016
665995,1,3,2016
663624,0,4,2016
663789,0,4,2016
663106,1,6,2016
662548,1,3,2016
662342,0,8,2016
661703,5,0,2016
657854,0,4,2016
658226,0,4,2016
657863,1,3,2016
657634,2,7,2016
659289,0,6,2016
657136,1,6,2016
657151,2,2,2016
656991,2,2,2016
657023,2,5,2016
655512,1,3,2016
654087,3,2,2016
653077,1,5,2016
652584,0,6,2016
652561,0,5,2016
652606,0,5,2016
652642,3,1,2016
652759,1,3,2016
652175,1,3,2016
651957,4,0,2016
651434,1,4,2016
648884,2,3,2016
648490,0,4,2016
647865,1,10,2016
646995,1,3,2016
646855,0,4,2016
644723,0,4,2016
643824,0,4,2016
641732,1,5,2016
641419,0,6,2016
640677,0,4,2016
640689,2,2,2016
640861,0,5,2016
640500,1,6,2016
640203,2,4,2016
640901,0,5,2016
634889,0,4,2016
634787,0,13,2016
634238,0,4,2016
634731,0,5,2016
634819,5,0,2016
632747,0,4,2016
632753,0,4,2016
630007,0,4,2016
629415,0,5,2016
629663,0,4,2016
628570,2,2,2016
628623,0,4,2016
628635,0,4,2016
628178,1,3,2016
627519,1,3,2016
627757,0,4,2016
626153,0,4,2016
626960,1,3,2016
624273,0,7,2016
625735,2,2,2016
624156,1,3,2016
623523,2,2,2016
624046,1,3,2016
623439,0,4,2016
623195,5,0,2016
624057,1,3,2016
622500,2,2,2016
621232,0,4,2016
620247,1,3,2016
619708,0,4,2016
619408,0,4,2016
617789,3,1,2016
617607,1,4,2016
617712,0,5,2016
616948,3,1,2016
618321,0,5,2016
617334,0,7,2016
615109,0,5,2016
615328,0,4,2016
615024,2,2,2016
611479,2,19,2016
610584,1,7,2016
610756,0,4,2016
610093,2,2,2016
613805,0,4,2016
610379,4,1,2016
610402,0,5,2016
609402,0,5,2016
608787,0,4,2016
607265,0,4,2016
605475,1,3,2016
605367,0,4,2016
604762,4,3,2016
604459,0,5,2016
604275,0,5,2016
604233,1,14,2016
605005,0,4,2016
604175,0,6,2016
604207,3,1,2016
603475,3,1,2016
603733,0,4,2016
603738,1,3,2016
602810,0,5,2016
602765,2,2,2016
600798,0,5,2016
601119,0,4,2016
600398,3,2,2016
601512,0,4,2016
597366,0,4,2016
597756,5,9,2016
597176,1,4,2016
595557,0,4,2016
595166,0,7,2016
595069,3,2,2016
595048,0,4,2016
595279,0,4,2016
596159,0,4,2016
595482,2,6,2016
594051,2,3,2016
594480,0,4,2016
592724,1,4,2016
592207,5,0,2016
591975,1,3,2016
591294,0,4,2016
589488,3,1,2016
590233,0,4,2016
589159,0,5,2016
588867,1,4,2016
589165,1,3,2016
588918,0,4,2016
587755,2,5,2016
589470,0,4,2016
587983,0,4,2016
589046,0,4,2016
587735,0,5,2016
587769,3,2,2016
586122,1,3,2016
585821,3,1,2016
586058,0,4,2016
586044,0,4,2016
585615,2,2,2016
583631,0,4,2016
583584,1,3,2016
583537,2,2,2016
583362,0,4,2016
580791,1,3,2016
580848,0,4,2016
579517,0,4,2016
579786,0,5,2016
580279,0,5,2016
577157,50,53,2016
577574,5,0,2016
578238,0,4,2016
576774,1,3,2016
577938,1,3,2016
577073,3,2,2016
575607,0,4,2016
574850,0,4,2016
574753,1,3,2016
573327,0,4,2016
572766,2,4,2016
575061,0,4,2016
572696,3,3,2016
572513,0,4,2016
571859,3,1,2016
569225,0,4,2016
569189,0,4,2016
568528,0,5,2016
568745,0,5,2016
567788,0,4,2016
567673,0,6,2016
567494,0,4,2016
567614,2,6,2016
564470,0,5,2016
563829,0,4,2016
563514,1,3,2016
563751,0,4,2016
563630,1,3,2016
561912,0,4,2016
560782,3,1,2016
565244,5,0,2016
559194,0,4,2016
559042,0,5,2016
558796,1,3,2016
557589,1,4,2016
557479,0,5,2016
555126,1,3,2016
555873,1,4,2016
555886,1,3,2016
554133,3,3,2016
553803,2,6,2016
554027,1,3,2016
553570,1,7,2016
551053,0,5,2016
550445,0,4,2016
550619,0,5,2016
549507,2,2,2016
549071,3,1,2016
548333,1,4,2016
547639,0,4,2016
547827,0,5,2016
546760,0,5,2016
547319,2,3,2016
546818,0,4,2016
546581,1,3,2016
546244,3,1,2016
546258,0,4,2016
546550,1,4,2016
545525,8,0,2016
546022,6,0,2016
545501,0,4,2016
543441,1,4,2016
544080,1,3,2016
543132,1,4,2016
543244,1,3,2016
541996,3,1,2016
543102,1,3,2016
543108,1,6,2016
542259,1,4,2016
541987,2,4,2016
542362,0,4,2016
537825,1,3,2016
537820,0,4,2016
537311,0,4,2016
539705,0,4,2016
537085,0,4,2016
535927,0,4,2016
532604,0,4,2016
528614,0,4,2016
529488,0,4,2016
526380,0,4,2016
525464,1,4,2016
525301,2,2,2016
523044,0,5,2016
522122,0,4,2016
521821,0,4,2016
521074,0,4,2016
520767,2,2,2016
520290,0,5,2016
519541,6,2,2016
518266,2,3,2016
517895,0,4,2016
518436,5,0,2016
517058,1,6,2016
517114,0,4,2016
517073,1,8,2016
516758,0,4,2016
516341,1,3,2016
513549,0,5,2016
513640,1,3,2016
512880,2,2,2016
512073,5,0,2016
511436,4,14,2016
509897,5,0,2016
510769,0,4,2016
509707,0,5,2016
508879,1,3,2016
508341,1,3,2016
508640,6,2,2016
508356,1,3,2016
508510,0,4,2016
